# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
he cheng 	合成	c=3 d=0.980199 t=8158
he cu 	喝醋	c=1 d=0.0224829 t=8158
he nan 	河南	c=14 d=1.97604 t=8158
he nan sheng 	河南省	c=4 d=3.6985 t=8158
he qin 	和亲	c=1 d=9.98097e-08 t=8158
he shui 	喝水	c=1 d=0.0209629 t=8158
he yi 	何以	c=0 d=3.56328e-09 t=8158
he yi wei feng jian 	何以为封建	c=1 d=3.58114e-08 t=8158
he zi 	赫兹	c=0 d=1.95085e-10 t=8158
he zi bo ge 	赫兹伯格	c=3 d=6.24637e-09 t=8158
he zuo 	合作	c=1 d=2.91033e-09 t=8158
hei 	黑	c=4 d=1.83867 t=8158
hei tian e 	黑天鹅	c=1 d=1.39576e-11 t=8158
hen 	很	c=5 d=1.02246 t=8158
hen da 	很大	c=2 d=3.93297e-05 t=8158
hen di 	很低	c=1 d=3.28988e-10 t=8158
hen duo 	很多	c=2 d=0.0909482 t=8158
hen duo bei 	很多倍	c=1 d=0.00329615 t=8158
hen duo zhi shi 	很多知识	c=1 d=0.913931 t=8158
hen jiu 	很久	c=1 d=3.21586e-07 t=8158
hen ming xian 	很明显	c=1 d=1.0578e-14 t=8158
hen ren 	狠人	c=1 d=3.95777e-08 t=8158
hen she hui 	很社会	c=1 d=7.45039e-09 t=8158
hen ying ping ren lan de 	很影评人懒得	c=1 d=4.86074e-14 t=8158
hen zheng chang 	很正常	c=1 d=7.99332e-13 t=8158
hong 	宏	c=1 d=3.62711e-11 t=8158
hong hu zhi zhi 	鸿鹄之志	c=1 d=6.05377e-08 t=8158
hong se 	红色	c=1 d=1.19803e-08 t=8158
hou 	侯	c=0 d=1.12535e-08 t=8158
hou 	后	c=11 d=3.17825 t=8158
hou guo 	后果	c=1 d=0.0347353 t=8158
hou mian 	后面	c=6 d=0.0443767 t=8158
hou mu 	后母	c=0 d=2.65297e-09 t=8158
hou mu wu ding 	后母戊鼎	c=1 d=2.66627e-08 t=8158
hou tai 	后台	c=2 d=2.86651e-07 t=8158
hou tian 	后天	c=1 d=1.7573e-15 t=8158
hou zhe 	后者	c=1 d=1.56613e-13 t=8158
hu 	户	c=0 d=8.63377e-09 t=8158
hu chi 	互斥	c=1 d=0.995012 t=8158
hu chi xuan xiang 	互斥选项	c=1 d=8.35839e-09 t=8158
hu lve 	忽略	c=2 d=1.06903e-10 t=8158
hu ming 	糊名	c=1 d=1.77375e-07 t=8158
hu ran 	忽然	c=1 d=4.35294e-10 t=8158
hu seng 	胡僧	c=1 d=8.17173e-08 t=8158
hu wei 	互为	c=1 d=0.995012 t=8158
hu yan 	护眼	c=1 d=4.88345e-10 t=8158
hu you 	忽悠	c=1 d=2.55555e-09 t=8158
hua 	话	c=4 d=0.467666 t=8158
hua bei 	华北	c=0 d=0.0980199 t=8158
hua bei li gong 	华北理工	c=1 d=1.08461 t=8158
hua bei li gong da xue 	华北理工大学	c=1 d=1 t=8158
hua bing 	画饼	c=2 d=2.96628e-09 t=8158
hua li hu shao 	花里胡哨	c=2 d=6.66695e-07 t=8158
hua sheng ke 	花生壳	c=1 d=0.371577 t=8158
hua shuo 	话说	c=26 d=3.50913 t=8158
hua tuo 	华佗	c=1 d=4.71468e-08 t=8158
hua wei 	华为	c=5 d=1.97531 t=8158
hua zhong 	华中	c=1 d=0.97531 t=8158
huai 	坏	c=5 d=2.49929 t=8158
huai le 	坏了	c=3 d=1.77901e-12 t=8158
huai qing xu 	坏情绪	c=1 d=7.01651e-09 t=8158
huai yi 	怀疑	c=2 d=0.000193557 t=8158
huan 	换	c=8 d=0.01727 t=8158
huan 	还	c=1 d=0.56836 t=8158
huan cheng 	换成	c=2 d=0.946485 t=8158
huan cun 	缓存	c=2 d=1.73851e-10 t=8158
huan fa 	焕发	c=1 d=7.56685e-15 t=8158
huan jie 	缓解	c=0 d=5.07221e-16 t=8158
huan jie le 	缓解了	c=1 d=5.09763e-15 t=8158
huan jing 	环境	c=13 d=2.63231 t=8158
huan jing bian liang 	环境变量	c=1 d=2.22244e-13 t=8158
huang 	晃	c=0 d=2.15046e-09 t=8158
huang 	皇	c=1 d=2.17207e-08 t=8158
huang chao 	黄巢	c=1 d=1.67883e-07 t=8158
huang di 	皇帝	c=3 d=0.173953 t=8158
huang di nei jing 	黄帝内经	c=1 d=4.66777e-08 t=8158
huang he 	黄河	c=1 d=2.449e-08 t=8158
huang jin qi yi 	黄巾起义	c=2 d=2.38558e-07 t=8158
huang lao 	黄老	c=0 d=6.8942e-09 t=8158
huang lao zhi shu 	黄老之术	c=1 d=6.92876e-08 t=8158
huang shi 	黄石	c=1 d=6.65708e-08 t=8158
huang tian 	皇天	c=1 d=1.15962e-07 t=8158
huang zong xi 	黄宗羲	c=1 d=8.27381e-07 t=8158
hui 	会	c=15 d=3.41439 t=8158
hui 	回	c=1 d=0.995012 t=8158
hui ba 	会把	c=1 d=8.38288e-14 t=8158
hui bu hui 	会不会	c=3 d=0.000821453 t=8158
hui bu hui shi 	会不会是	c=1 d=3.75695e-13 t=8158
hui chu 	会出	c=0 d=6.52637e-11 t=8158
hui chu cuo 	会出错	c=1 d=6.55908e-10 t=8158
hui dao 	回到	c=2 d=0.018533 t=8158
hui dong 	会动	c=1 d=0.00220948 t=8158
hui fu 	恢复	c=3 d=0.956007 t=8158
hui he 	会合	c=1 d=1.12593e-13 t=8158
hui he 	会和	c=1 d=1.86564e-13 t=8158
hui hua 	会话	c=1 d=1.76977e-10 t=8158
hui lai 	回来	c=1 d=2.70749e-12 t=8158
hui lv 	汇率	c=1 d=1.06531e-09 t=8158
hui meng 	会盟	c=0 d=3.65348e-09 t=8158
hui mie 	毁灭	c=0 d=8.74162e-08 t=8158
hui mie ba 	毁灭把	c=1 d=8.78544e-07 t=8158
hui qu 	回去	c=3 d=0.956017 t=8158
hui shi 	回事	c=2 d=5.94842e-07 t=8158
hui tu 	绘图	c=1 d=0.394554 t=8158
hui tui 	回退	c=2 d=0.970446 t=8158
hui xi niu 	灰犀牛	c=1 d=1.16623e-15 t=8158
hui xiang 	会响	c=1 d=1.7646e-05 t=8158
hui you 	会有	c=3 d=0.814729 t=8158
hui yuan 	会员	c=1 d=0.0136366 t=8158
hui zhi 	绘制	c=1 d=1 t=8158
hun cheng 	混成	c=0 d=0.0951229 t=8158
hun cheng qi 	混成器	c=1 d=0.955997 t=8158
huo 	伙	c=1 d=3.70807e-06 t=8158
huo 	获	c=1 d=3.51202e-14 t=8158
huo 	货	c=1 d=0.744532 t=8158
huo 	霍	c=1 d=9.03116e-08 t=8158
huo de 	获得	c=2 d=0.121617 t=8158
huo hu 	火狐	c=4 d=0.161318 t=8158
huo qu 	获取	c=8 d=0.843665 t=8158
huo qu bing 	霍去病	c=1 d=8.76425e-08 t=8158
huo sang 	霍桑	c=1 d=3.39827e-09 t=8158
huo xu 	或许	c=1 d=4.95809e-12 t=8158
huo zhe 	或者	c=7 d=0.532608 t=8158
ji 	几	c=1 d=8.0918e-10 t=8158
ji 	寄	c=1 d=0.941765 t=8158
ji 	鸡	c=1 d=0.0902655 t=8158
ji ben 	基本	c=1 d=3.21641e-09 t=8158
ji bie 	级别	c=1 d=9.75974e-09 t=8158
ji cheng 	继承	c=1 d=0.031273 t=8158
ji cheng 	集成	c=3 d=2.85875 t=8158
ji cheng wang wei 	继承王位	c=1 d=3.35577e-08 t=8158
ji chu xing 	基础性	c=1 d=3.26558e-11 t=8158
ji ci 	几次	c=0 d=0.099005 t=8158
ji cuo 	记错	c=0 d=2.09701e-07 t=8158
ji dan 	鸡蛋	c=1 d=0.0208584 t=8158
ji de 	记得	c=2 d=0.00873865 t=8158
ji dian 	机电	c=1 d=3.80291e-14 t=8158
ji dian xin xi 	机电信息	c=1 d=3.27459e-14 t=8158
ji fang 	机房	c=1 d=0.00232276 t=8158
ji guan 	机关	c=3 d=3.6528e-08 t=8158
ji hua 	计划	c=8 d=0.00307334 t=8158
ji hui 	机会	c=1 d=9.14242e-05 t=8158
ji huo 	激活	c=3 d=1.81299 t=8158
ji li 	激励	c=4 d=2.1324e-06 t=8158
ji lu 	记录	c=3 d=0.000610083 t=8158
ji mi 	机密	c=1 d=1.11147e-08 t=8158
ji neng 	技能	c=1 d=3.63712e-14 t=8158
ji nian 	几年	c=1 d=2.01581e-12 t=8158
ji qi 	机器	c=1 d=4.35368e-12 t=8158
ji quan 	集权	c=1 d=8.21071e-08 t=8158
ji quan tong yi 	集权统一	c=1 d=5.56046e-08 t=8158
ji shi 	及时	c=0 d=4.5643e-10 t=8158
ji shi 	技师	c=0 d=6.61127e-16 t=8158
ji shi zhi sun 	及时止损	c=2 d=9.24368e-09 t=8158
ji shu 	技术	c=6 d=0.873446 t=8158
ji suan 	计算	c=1 d=0.236928 t=8158
ji suan ji 	计算机	c=12 d=1.72413 t=8158
ji suan ji ke xue yu ji shu 	计算机科学与技术	c=2 d=6.511e-14 t=8158
ji suan qi 	计算器	c=1 d=2.48044e-11 t=8158
ji tian 	几天	c=4 d=2.50838 t=8158
ji xian 	极限	c=1 d=0.00108628 t=8158
ji xing 	机型	c=0 d=0.000189223 t=8158
ji xu 	继续	c=1 d=0.489192 t=8158
ji yi 	记忆	c=5 d=0.90159 t=8158
ji yi li 	记忆力	c=1 d=0.97531 t=8158
ji yu 	基于	c=1 d=1.26969e-15 t=8158
ji yu 	鲫鱼	c=0 d=9.6128e-08 t=8158
ji zhou 	冀州	c=1 d=8.56853e-07 t=8158
ji zhu 	记住	c=2 d=0.42122 t=8158
jia 	假	c=1 d=1.48615e-14 t=8158
jia 	家	c=2 d=0.00673795 t=8158
jia 	甲	c=1 d=2.88834e-08 t=8158
jia ban 	加班	c=2 d=0.00633389 t=8158
jia dao 	加到	c=2 d=1.35418 t=8158
jia de 	假的	c=2 d=0.0105145 t=8158
jia fa 	加法	c=1 d=1 t=8158
jia fen 	加分	c=1 d=4.35442e-14 t=8158
jia ge 	价格	c=1 d=2.99947e-11 t=8158
jia gou 	架构	c=1 d=6.3488e-09 t=8158
jia gu 	甲骨	c=2 d=1.17415e-06 t=8158
jia gu wen 	甲骨文	c=2 d=1.29891e-06 t=8158
jia gu wen zhi fu 	甲骨文之父	c=1 d=2.70657e-08 t=8158
jia huo 	假货	c=1 d=8.89822e-10 t=8158
jia ji 	加急	c=1 d=1.14532e-08 t=8158
jia mi 	加密	c=2 d=1.31037 t=8158
jia mi bang 	加密棒	c=1 d=0.606531 t=8158
jia mu lu 	家目录	c=1 d=7.73837e-14 t=8158
jia ru 	加入	c=1 d=0.00301245 t=8158
jia san 	加三	c=0 d=9.56648e-10 t=8158
jia shang 	加上	c=1 d=0.000293099 t=8158
jia su 	加速	c=5 d=0.000275489 t=8158
jia xiao yi dian tong 	驾校一点通	c=2 d=1.57422 t=8158
jia zai 	加载	c=4 d=0.951229 t=8158
jia zai 	夹在	c=1 d=9.98437e-12 t=8158
jia zhi 	价值	c=3 d=2.49728e-09 t=8158
jia zhi chi du 	价值尺度	c=1 d=9.83405e-10 t=8158
jia zi 	甲子	c=0 d=1.30095e-08 t=8158
jian 	件	c=1 d=0.396531 t=8158
jian 	建	c=2 d=0.0757103 t=8158
jian 	见	c=1 d=6.54438e-13 t=8158
jian 	间	c=1 d=0.99005 t=8158
jian an qi zi 	建安七子	c=1 d=9.70941e-07 t=8158
jian ce 	检测	c=7 d=3.94698 t=8158
jian ce xia 	检测下	c=1 d=3.26613e-13 t=8158
jian cha 	检查	c=1 d=1.62081e-05 t=8158
jian chi 	坚持	c=1 d=0.826959 t=8158
jian dan 	简单	c=1 d=1.18652e-12 t=8158
jian ji 	剪辑	c=1 d=3.18495e-11 t=8158
jian ju 	间距	c=2 d=1.97025 t=8158
jian pan 	键盘	c=4 d=1.10352e-13 t=8158
jian rong 	兼容	c=2 d=6.31606e-07 t=8158
jian san 	减三	c=1 d=2.0403e-07 t=8158
jian shen fang 	健身房	c=1 d=0.0193512 t=8158
jian ting 	监听	c=2 d=3.21264e-14 t=8158
jian ting qi 	监听器	c=1 d=0.980199 t=8158
jian yi 	建议	c=3 d=1.50859 t=8158
jian zhan 	建站	c=1 d=0.0158434 t=8158
jian zhi dan wei 	建制单位	c=1 d=0.000193545 t=8158
jiang 	姜	c=1 d=5.70122e-08 t=8158
jiang 	降	c=2 d=1.62527 t=8158
jiang wen 	降温	c=1 d=0.00107547 t=8158
jiang xin 	降心	c=0 d=0.0798516 t=8158
jiang xin lv 	降心率	c=1 d=0.802519 t=8158
jiao 	教	c=1 d=0.00200924 t=8158
jiao ben 	脚本	c=5 d=2.93488 t=8158
jiao cheng 	教程	c=3 d=8.55863e-13 t=8158
jiao dian 	焦点	c=2 d=4.35955e-14 t=8158
jiao du 	角度	c=1 d=0.941765 t=8158
jiao shi 	教室	c=1 d=6.54549e-15 t=8158
jiao shi 	教师	c=3 d=3.81871e-14 t=8158
jiao shi zi ge 	教师资格	c=1 d=3.72919e-14 t=8158
jiao wo 	教我	c=1 d=1.24735e-12 t=8158
jiao yu 	教育	c=1 d=3.17781e-14 t=8158
jiao zuo 	叫做	c=1 d=2.29488e-08 t=8158
jie dao 	街道	c=1 d=4.20465e-14 t=8158
jie de 	捷德	c=2 d=1.93605 t=8158
jie dian 	节点	c=24 d=7.52561 t=8158
jie duan 	阶段	c=1 d=1.35778e-10 t=8158
jie fang jun 	解放军	c=1 d=3.97964e-14 t=8158
jie gan er qi 	揭竿而起	c=2 d=1.20171e-07 t=8158
jie gou 	结构	c=1 d=1.37783e-06 t=8158
jie gou ti 	结构体	c=1 d=1.15742e-14 t=8158
jie guan 	接管	c=3 d=0.00155023 t=8158
jie guo 	结果	c=1 d=1.51958e-11 t=8158
jie hun 	结婚	c=3 d=2.82596 t=8158
jie hun hou 	结婚后	c=1 d=0.99005 t=8158
jie jie 	姐姐	c=2 d=3.36847e-06 t=8158
jie jue 	解决	c=3 d=0.456174 t=8158
jie kou 	接口	c=3 d=0.0321515 t=8158
jie mian 	界面	c=2 d=0.000632063 t=8158
jie ri 	节日	c=1 d=6.0684e-07 t=8158
jie ru 	接入	c=1 d=1 t=8158
jie shi 	解释	c=1 d=5.01918e-09 t=8158
jie shou 	接受	c=1 d=1.04981e-13 t=8158
jie shu 	结束	c=1 d=1.99541e-10 t=8158
jie tu 	截图	c=3 d=1.09478e-06 t=8158
jie xi 	解析	c=2 d=2.88097e-07 t=8158
jie yong 	借用	c=1 d=1.35732e-06 t=8158
jie zi tui 	介子推	c=2 d=7.74003e-08 t=8158
jin 	近	c=1 d=1.09246e-11 t=8158
jin 	进	c=5 d=0.949819 t=8158
jin bu qu 	进不去	c=1 d=2.4001e-06 t=8158
jin cheng 	进程	c=2 d=0.182684 t=8158
jin chu 	进出	c=0 d=8.59217e-11 t=8158
jin chu zheng ce 	进出政策	c=1 d=8.63524e-10 t=8158
jin du 	进度	c=1 d=9.90893e-11 t=8158
jin ji 	紧急	c=0 d=1.12264e-09 t=8158
jin ji cheng du 	紧急程度	c=3 d=4.07507e-08 t=8158
jin jin 	仅仅	c=1 d=0.0812682 t=8158
jin kuai 	尽快	c=1 d=0.878095 t=8158
jin qu 	进去	c=1 d=7.26767e-11 t=8158
jin ru 	进入	c=8 d=1.29029 t=8158
jin shi 	近视	c=3 d=1.50427e-14 t=8158
jin tian 	今天	c=8 d=1.12577 t=8158
jin wen 	金文	c=2 d=1.18004e-06 t=8158
jin xing 	进行	c=2 d=4.00725e-07 t=8158
jin yin 	近因	c=2 d=1.11503e-08 t=8158
jin yong 	禁用	c=2 d=1.67854e-05 t=8158
jin zhi 	进制	c=3 d=3.80258e-08 t=8158
jing chang 	经常	c=4 d=6.30661e-05 t=8158
jing di 	境地	c=1 d=1.01335e-09 t=8158
jing dian 	经典	c=2 d=0.00767969 t=8158
jing dong 	京东	c=1 d=0.995012 t=8158
jing gao 	警告	c=1 d=2.46086e-06 t=8158
jing guo 	经过	c=1 d=3.46574e-05 t=8158
jing ji 	经济	c=1 d=2.575e-10 t=8158
jing jian 	精简	c=0 d=8.96444e-10 t=8158
jing jian gao xiao 	精简高效	c=2 d=1.82008e-08 t=8158
jing qi 	惊奇	c=1 d=9.38184e-15 t=8158
jing que 	精确	c=0 d=8.91973e-10 t=8158
jing que gui fan 	精确规范	c=2 d=1.811e-08 t=8158
jing sui 	精髓	c=1 d=1 t=8158
jing tai 	静态	c=6 d=1.99582 t=8158
jing tian zhi 	井田制	c=2 d=6.49709e-08 t=8158
jing xiang 	镜像	c=3 d=6.84999e-14 t=8158
jing xiang yuan 	镜像源	c=1 d=3.12241e-13 t=8158
jing ying 	经营	c=1 d=1.51175e-09 t=8158
jing zhou 	荆州	c=1 d=8.39886e-07 t=8158
jiu 	九	c=2 d=0.551921 t=8158
jiu 	就	c=33 d=4.39364 t=8158
jiu 	旧	c=2 d=2.29063e-05 t=8158
jiu bi 	就比	c=1 d=8.50667e-10 t=8158
jiu bu 	就不	c=1 d=9.54016e-06 t=8158
jiu bu xing 	就不行	c=2 d=6.45923e-06 t=8158
jiu cai 	韭菜	c=0 d=0.0053397 t=8158
jiu dan sheng 	就诞生	c=1 d=0.000696112 t=8158
jiu hen 	就很	c=1 d=0.97531 t=8158
jiu hui 	就会	c=1 d=0.900325 t=8158
jiu ke neng 	就可能	c=1 d=3.50057e-05 t=8158
jiu ke yi 	就可以	c=1 d=3.6365e-12 t=8158
jiu le 	久了	c=2 d=0.00104362 t=8158
jiu pian 	纠偏	c=1 d=2.984e-09 t=8158
jiu qie 	就切	c=1 d=2.00473e-06 t=8158
jiu quan 	酒泉	c=1 d=8.80818e-08 t=8158
jiu shi 	就是	c=11 d=1.07385 t=8158
jiu ta 	就他	c=0 d=6.16221e-12 t=8158
jiu ta you 	就他有	c=1 d=6.1931e-11 t=8158
jiu xiang 	就像	c=4 d=1.45292e-12 t=8158
jiu xing 	就行	c=1 d=7.39283e-06 t=8158
jiu xu 	就绪	c=1 d=3.57433e-15 t=8158
jiu yao 	就要	c=1 d=0.000151489 t=8158
jiu yong 	就用	c=1 d=5.67472e-12 t=8158
jiu you 	就有	c=1 d=1.20987e-06 t=8158
jiu zhe 	就这	c=1 d=0.000161662 t=8158
jiu zhe ba 	就这把	c=1 d=3.06059e-13 t=8158
jiu zhi dao 	就知道	c=1 d=0.04573 t=8158
jiu zuo 	久坐	c=2 d=1.97516 t=8158
ju 	菊	c=0 d=1.71274e-08 t=8158
ju jue 	拒绝	c=2 d=1.80562 t=8158
ju lu zhi zhan 	巨鹿之战	c=1 d=6.08411e-08 t=8158
ju ti 	具体	c=3 d=1.34538e-06 t=8158
ju ti yi dian 	具体一点	c=1 d=4.23378e-07 t=8158
ju zhong 	居中	c=1 d=1.30432e-08 t=8158
juan 	卷	c=2 d=0.998634 t=8158
jue ce 	决策	c=5 d=1.25867e-08 t=8158
jue ci 	厥词	c=1 d=2.32394e-09 t=8158
jue de 	觉得	c=1 d=0.995012 t=8158
jue ding 	决定	c=1 d=2.2444e-11 t=8158
jue ding xing 	决定性	c=1 d=3.24929e-11 t=8158
jue duan 	决断	c=1 d=1.52668e-07 t=8158
jue dui 	绝对	c=1 d=4.08747e-05 t=8158
jue dui ling dao 	绝对领导	c=0 d=3.15326e-12 t=8158
jue le 	绝了	c=1 d=1.19185e-06 t=8158
jue se 	角色	c=1 d=0.117068 t=8158
jun dui 	军队	c=1 d=7.9084e-05 t=8158
jun dui de 	军队的	c=0 d=3.15326e-12 t=8158
jun guo 	郡国	c=0 d=7.24768e-09 t=8158
jun guo bing xing 	郡国并行	c=1 d=7.284e-08 t=8158
jun ren 	军人	c=1 d=8.96139e-05 t=8158
jun wei zhu xi 	军委主席	c=1 d=0.000207579 t=8158
jun xian zhi 	郡县制	c=2 d=1.03966e-07 t=8158
jun zhu li xian 	君主立宪	c=1 d=0.000156102 t=8158
jun zi 	君子	c=1 d=0.000235217 t=8158
ka 	卡	c=9 d=6.69898 t=8158
ka dun 	卡顿	c=1 d=1 t=8158
ka zhu 	卡住	c=1 d=1 t=8158
kai 	开	c=3 d=0.0162901 t=8158
kai 	楷	c=1 d=0.980199 t=8158
kai de 	开的	c=1 d=0.937067 t=8158
kai deng 	开灯	c=1 d=4.22429e-10 t=8158
kai fa 	开发	c=2 d=0.985673 t=8158
kai fa zhe 	开发者	c=2 d=0.000456421 t=8158
kai ge 	开个	c=2 d=0.0164834 t=8158
kai ji 	开机	c=5 d=3.70891 t=8158
kai nian 	开年	c=1 d=1.11203e-14 t=8158
kai qi 	开启	c=3 d=3.04377e-07 t=8158
kai shi 	开始	c=10 d=0.00246639 t=8158
kai yuan 	开源	c=2 d=0.995072 t=8158
kan 	看	c=14 d=2.18117 t=8158
kan bu jian 	看不见	c=1 d=0.0862936 t=8158
kan bu le 	看不了	c=0 d=3.36617e-16 t=8158
kan cuo 	看错	c=1 d=0.980199 t=8158
kan de 	看得	c=2 d=7.54897e-12 t=8158
kan er jing 	坎儿井	c=1 d=1.4595e-07 t=8158
kan kan 	看看	c=5 d=1.81788 t=8158
kan lai 	看来	c=1 d=7.8947e-14 t=8158
kan qi lai 	看起来	c=2 d=0.0273237 t=8158
kan shi pin 	看视频	c=1 d=9.70776e-05 t=8158
kan xing hao 	看型号	c=1 d=0.985112 t=8158
kan yi xia 	看一下	c=1 d=1 t=8158
kan zhe 	看着	c=4 d=0.970446 t=8158
kang ba zi 	扛把子	c=1 d=1 t=8158
kang ju chi 	抗锯齿	c=1 d=1 t=8158
kao 	考	c=2 d=1.00434 t=8158
kao 	靠	c=1 d=0.000978001 t=8158
kao lv 	考虑	c=5 d=1.06264 t=8158
kao qu 	考取	c=1 d=3.67367e-14 t=8158
kao shi 	考试	c=3 d=0.00251621 t=8158
ke 	可	c=0 d=1.01318e-08 t=8158
ke 	珂	c=0 d=2.96297e-15 t=8158
ke bian zi ben 	可变资本	c=1 d=1.12554e-09 t=8158
ke ceng zhi 	科层制	c=1 d=1.56559e-09 t=8158
ke cheng 	课程	c=1 d=0.00259284 t=8158
ke fu 	客服	c=1 d=0.115903 t=8158
ke guan cun zai 	客观存在	c=1 d=0.000468957 t=8158
ke ji 	科技	c=3 d=0.995012 t=8158
ke jiao wen wei ti 	科教文卫体	c=1 d=7.41323e-09 t=8158
ke kong 	可控	c=1 d=0.755784 t=8158
ke mu 	科目	c=1 d=0.00442715 t=8158
ke neng 	可能	c=7 d=1.47293 t=8158
ke shi hua 	可视化	c=3 d=1.46286 t=8158
ke xuan 	可选	c=1 d=1.13138e-11 t=8158
ke xue 	科学	c=1 d=1.5137e-09 t=8158
ke xue guan li 	科学管理	c=1 d=2.67317e-09 t=8158
ke xue shi 	科学是	c=1 d=1.48949e-11 t=8158
ke xue yu ji shu 	科学与技术	c=1 d=0.960789 t=8158
ke yi 	可以	c=32 d=4.39083 t=8158
ke yi ma 	可以吗	c=1 d=0.985112 t=8158
ke yong 	可用	c=3 d=0.36511 t=8158
ke zhao hun 	可招魂	c=1 d=1.01826e-07 t=8158
keng 	坑	c=2 d=1.24413e-09 t=8158
kong 	空	c=3 d=1.94827e-07 t=8158
kong cheng 	空城	c=0 d=9.70941e-08 t=8158
kong cheng wang xu ruan ying liu 	空城王旭软应留	c=1 d=9.75808e-07 t=8158
kong pao 	空跑	c=1 d=6.98508e-15 t=8158
kong qi zhi liang 	空气质量	c=1 d=1.87531e-15 t=8158
kong tiao 	空调	c=3 d=2.95047 t=8158
kong zhi 	控制	c=9 d=0.00105948 t=8158
kong zhi zhi neng 	控制职能	c=1 d=3.18441e-09 t=8158
kong zi 	孔子	c=2 d=8.30129e-07 t=8158
kou 	抠	c=1 d=0.00235786 t=8158
kou xia lai 	扣下来	c=1 d=1.05199e-08 t=8158
ku 	库	c=5 d=0.978431 t=8158
ku teng lao shu hun ya 	枯藤老树昏鸦	c=1 d=1.24371e-07 t=8158
kua xia zhi ru 	胯下之辱	c=1 d=6.75769e-08 t=8158
kuai 	块	c=1 d=8.66053e-15 t=8158
kuai 	快	c=4 d=0.00363465 t=8158
kuai jie jian 	快捷键	c=1 d=0.000131041 t=8158
kuai le 	快乐	c=2 d=2.13782e-14 t=8158
kuai pao 	快跑	c=1 d=0.97531 t=8158
kuai su 	快速	c=1 d=1.43406e-06 t=8158
kuan 	宽	c=2 d=1.97032 t=8158
kuan dai 	宽带	c=2 d=2.95122e-14 t=8158
kuang 	框	c=1 d=9.54503e-12 t=8158
kuang jia 	框架	c=6 d=1.99066 t=8158
kuang xiao 	狂笑	c=2 d=1.79616 t=8158
kui 	葵	c=0 d=3.65348e-09 t=8158
kui qiu hui meng 	葵丘会盟	c=1 d=3.6718e-08 t=8158
kun yang 	昆阳	c=1 d=1.17128e-07 t=8158
kuo zhan 	扩展	c=4 d=2.0041 t=8158
kuo zhan ping mu 	扩展屏幕	c=2 d=1.68936e-14 t=8158
la ji 	垃圾	c=1 d=3.34938e-15 t=8158
lai 	来	c=16 d=4.95745 t=8158
lai le 	来了	c=2 d=1.7387 t=8158
lai zhe 	来着	c=1 d=2.48002e-09 t=8158
lan 	栏	c=1 d=6.01007e-11 t=8158
lan 	烂	c=1 d=4.43936e-06 t=8158
lan de 	兰德	c=1 d=0.0206508 t=8158
lan de 	懒得	c=0 d=4.8365e-15 t=8158
lan tian 	蓝天	c=1 d=1.85092e-08 t=8158
lan ya 	蓝牙	c=1 d=1.37521e-13 t=8158
lang ju xu 	狼居胥	c=0 d=8.8967e-09 t=8158
lao 	老	c=2 d=0.00841895 t=8158
lao bu wen le 	老不稳了	c=1 d=2.54982e-12 t=8158
lao can you ji 	老残游记	c=1 d=2.73377e-08 t=8158
lao dong 	劳动	c=4 d=0.000171345 t=8158
lao dong li 	劳动力	c=2 d=2.67053e-07 t=8158
lao dong mei you 	劳动没有	c=1 d=2.30678e-10 t=8158
lao dong zhe 	劳动者	c=2 d=1.3674e-09 t=8158
lao ji xing 	老机型	c=1 d=0.00190171 t=8158
lao ma shi tu 	老马识途	c=1 d=3.65348e-08 t=8158
lao po 	老婆	c=1 d=0.0528657 t=8158
lao ren 	老人	c=1 d=0.0225956 t=8158
lao sao 	牢骚	c=1 d=3.43242e-09 t=8158
lao shi 	老师	c=1 d=0.0333733 t=8158
lao shi 	老是	c=5 d=2.68706 t=8158
lao shu cang 	老鼠仓	c=1 d=1.17148e-09 t=8158
lao xiong 	老兄	c=1 d=0.000147748 t=8158
lao zhan zhe 	老占着	c=1 d=6.95024e-15 t=8158
lao zhang ren 	老丈人	c=2 d=2.81165e-07 t=8158
le 	了	c=169 d=11.649 t=8158
le ming ling 	了命令	c=1 d=0.951229 t=8158
lei 	类	c=8 d=2.98022 t=8158
lei 	累	c=1 d=0.99005 t=8158
lei 	雷	c=2 d=1.90728e-08 t=8158
lei da 	雷达	c=2 d=0.865022 t=8158
lei ming 	类名	c=1 d=1.71747e-10 t=8158
lei si 	类似	c=5 d=1.48327 t=8158
lei xing 	类型	c=2 d=0.0897209 t=8158
lei zu 	嫘祖	c=1 d=2.04558e-08 t=8158
li 	力	c=1 d=0.83527 t=8158
li 	里	c=7 d=1.32965 t=8158
li cao 	隶草	c=0 d=2.93199e-09 t=8158
li cao kai xing 	隶草楷行	c=2 d=1.1919e-06 t=8158
li gong 	理工	c=0 d=0.0980199 t=8158
li hai 	厉害	c=1 d=9.8307e-06 t=8158
li he 	李贺	c=1 d=9.80699e-07 t=8158
li huo 	离火	c=1 d=1.92645e-08 t=8158
li jie 	理解	c=1 d=0.000450569 t=8158
li kui 	李悝	c=1 d=4.26602e-08 t=8158
li kui 	理亏	c=1 d=4.24474e-08 t=8158
li lun 	理论	c=4 d=9.82153e-09 t=8158
